Zeit_s;Kraft_N;Weg_mm;Längenänderung (fein)_mm;Längenänderung (grob)_mm;Querdehnung_%;Verlängerung_mm;Stress_MPa;Strain_%;Position_mm;Weg_F_mm;Weg_G_mm;Weg_Q_mm;_Zahl;Spannungszunahmegesdchwindigkeit_Nmm/s;Kraft dickenbezogen_MPa;Dehnung Ringzugversuch 53504_%;Spannung Ringzugversuch 53504_MPa;Spannung breitenbezogen (ISO 12311)_MPa;Position(invers)_µm;Wahrer Querschnitt_mm²;Wahre Spannung_N/mm²;Arbeit_Nmm
0;364,000;-0,003498;-0,000259;0,000000;0,000000;-0,000259;18,318;-0,001;-0,005317;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,685040;0,000000;0,000000;0,000000
0;369,750;-0,003498;-0,000259;0,000000;0,000000;-0,000259;18,607;-0,001;-0,005317;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,685040;0,000000;0,000000;0,000000
0;366,000;-0,003498;-0,000250;0,000000;0,000000;-0,000250;18,419;-0,001;-0,005317;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,685040;0,000000;0,000000;0,000000
0;368,000;-0,003498;-0,000250;0,000000;0,000000;-0,000250;18,519;-0,001;-0,005317;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,685040;0,000000;0,000000;0,000000
0;368,000;-0,003495;-0,000250;0,000000;0,000000;-0,000250;18,519;-0,001;-0,005315;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,682655;0,000000;0,000000;0,000000
0;371,750;-0,002973;-0,000280;0,000000;0,000000;-0,000280;18,708;-0,001;-0,004793;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6009,160519;0,000000;0,000000;0,000000
0;396,500;-0,001544;-0,000141;0,000000;0,000000;-0,000141;19,953;-0,001;-0,003363;24,994;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6007,730961;0,000000;0,000000;0,000000
0;431,000;0,000000;0,000000;0,000000;0,000000;0,000000;21,690;0,000;-0,001819;24,995;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6006,187439;0,000000;0,000000;0,000000
0;469,500;0,001655;0,000269;0,000000;0,000000;0,000269;23,627;0,001;-0,000164;24,995;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6004,531860;0,000000;0,000000;0,000000
0;505,750;0,003308;0,000429;0,000000;0,000000;0,000429;25,451;0,002;0,001489;24,995;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6002,878666;0,000000;0,000000;0,000000
0;542,250;0,004836;0,000719;0,000000;0,000000;0,000719;27,288;0,003;0,003017;24,995;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;6001,351357;0,000000;0,000000;0,000000
0;578,500;0,006375;0,000660;0,000000;0,000000;0,000660;29,112;0,003;0,004556;24,995;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;5999,812126;0,000000;0,000000;0,000000
