Zeit_s;Kraft_N;Weg_mm;Längenänderung (fein)_mm;Längenänderung (grob)_mm;Querdehnung_%;Verlängerung_mm;Spannung_MPa;Dehnung_%;Position_mm;Weg_F_mm;Weg_G_mm;Weg_Q_mm;_Zahl;Spannungszunahmegesdchwindigkeit_Nmm/s;Kraft dickenbezogen_MPa;Dehnung Ringzugversuch 53504_%;Spannung Ringzugversuch 53504_MPa;Spannung breitenbezogen (ISO 12311)_MPa;Position(invers)_µm;Wahrer Querschnitt_mm²;Wahre Spannung_N/mm²;Arbeit_Nmm
0;37,750;-0,223251;-0,013908;0,000000;0,000000;-0,013908;0,759;-0,035;0,000000;39,985;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51162,254333;0,000000;0,000000;0,000000
0;39,750;-0,222847;-0,014038;0,000000;0,000000;-0,014038;0,799;-0,035;0,000404;39,985;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51162,658691;0,000000;0,000000;0,000000
0;41,500;-0,221429;-0,013908;0,000000;0,000000;-0,013908;0,834;-0,035;0,001822;39,985;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51164,073944;0,000000;0,000000;0,000000
0;37,750;-0,219917;-0,014359;0,000000;0,000000;-0,014359;0,759;-0,036;0,003333;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51165,588379;0,000000;0,000000;0,000000
0;43,500;-0,218251;-0,014317;0,000000;0,000000;-0,014317;0,874;-0,036;0,005000;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51167,255402;0,000000;0,000000;0,000000
0;43,500;-0,216627;-0,014420;0,000000;0,000000;-0,014420;0,874;-0,036;0,006624;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51168,876648;0,000000;0,000000;0,000000
0;49,250;-0,215009;-0,014477;0,000000;0,000000;-0,014477;0,990;-0,036;0,008242;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51170,497894;0,000000;0,000000;0,000000
0;47,250;-0,213374;-0,014389;0,000000;0,000000;-0,014389;0,949;-0,036;0,009877;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51172,130585;0,000000;0,000000;0,000000
0;47,250;-0,211723;-0,014568;0,000000;0,000000;-0,014568;0,949;-0,036;0,011528;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51173,782349;0,000000;0,000000;0,000000
0;53,000;-0,210047;-0,014587;0,000000;0,000000;-0,014587;1,065;-0,036;0,013204;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51175,457001;0,000000;0,000000;0,000000
0;49,250;-0,208399;-0,014729;0,000000;0,000000;-0,014729;0,990;-0,037;0,014852;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51177,104950;0,000000;0,000000;0,000000
0;57,000;-0,206684;-0,014679;0,000000;0,000000;-0,014679;1,145;-0,037;0,016567;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51178,821564;0,000000;0,000000;0,000000
0;53,000;-0,204992;-0,014668;0,000000;0,000000;-0,014668;1,065;-0,037;0,018259;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51180,511475;0,000000;0,000000;0,000000
0;55,000;-0,203351;-0,014759;0,000000;0,000000;-0,014759;1,105;-0,037;0,019900;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51182,155609;0,000000;0,000000;0,000000
0;55,000;-0,201659;-0,015018;0,000000;0,000000;-0,015018;1,105;-0,038;0,021592;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51183,845520;0,000000;0,000000;0,000000
0;60,750;-0,199978;-0,014957;0,000000;0,000000;-0,014957;1,221;-0,037;0,023272;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51185,527802;0,000000;0,000000;0,000000
1;64,500;-0,198303;-0,015217;0,000000;0,000000;-0,015217;1,296;-0,038;0,024948;39,984;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51187,202454;0,000000;0,000000;0,000000
1;62,750;-0,196697;-0,015308;0,000000;0,000000;-0,015308;1,261;-0,038;0,026553;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51188,808441;0,000000;0,000000;0,000000
1;62,750;-0,195047;-0,015488;0,000000;0,000000;-0,015488;1,261;-0,039;0,028204;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51190,456390;0,000000;0,000000;0,000000
1;62,750;-0,193359;-0,015560;0,000000;0,000000;-0,015560;1,261;-0,039;0,029891;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51192,146301;0,000000;0,000000;0,000000
1;62,750;-0,191741;-0,015739;0,000000;0,000000;-0,015739;1,261;-0,039;0,031510;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51193,763733;0,000000;0,000000;0,000000
1;70,250;-0,190076;-0,015858;0,000000;0,000000;-0,015858;1,412;-0,040;0,033175;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51195,426941;0,000000;0,000000;0,000000
1;66,500;-0,188350;-0,016029;0,000000;0,000000;-0,016029;1,336;-0,040;0,034901;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51197,154999;0,000000;0,000000;0,000000
1;70,250;-0,186663;-0,016129;0,000000;0,000000;-0,016129;1,412;-0,040;0,036588;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51198,841095;0,000000;0,000000;0,000000
1;72,250;-0,185003;-0,016148;0,000000;0,000000;-0,016148;1,452;-0,040;0,038248;39,983;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51200,500488;0,000000;0,000000;0,000000
1;74,250;-0,183334;-0,016327;0,000000;0,000000;-0,016327;1,492;-0,041;0,039917;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51202,171326;0,000000;0,000000;0,000000
1;72,250;-0,181642;-0,016308;0,000000;0,000000;-0,016308;1,452;-0,041;0,041609;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51203,861237;0,000000;0,000000;0,000000
1;80,000;-0,179982;-0,016579;0,000000;0,000000;-0,016579;1,608;-0,041;0,043268;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51205,520630;0,000000;0,000000;0,000000
1;76,000;-0,178343;-0,016689;0,000000;0,000000;-0,016689;1,527;-0,042;0,044908;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51207,160950;0,000000;0,000000;0,000000
1;80,000;-0,176692;-0,016727;0,000000;0,000000;-0,016727;1,608;-0,042;0,046559;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51208,812714;0,000000;0,000000;0,000000
1;78,000;-0,175051;-0,016758;0,000000;0,000000;-0,016758;1,567;-0,042;0,048200;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51210,453033;0,000000;0,000000;0,000000
1;83,750;-0,173391;-0,016930;0,000000;0,000000;-0,016930;1,683;-0,042;0,049860;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51212,112427;0,000000;0,000000;0,000000
1;81,750;-0,171740;-0,016968;0,000000;0,000000;-0,016968;1,643;-0,042;0,051511;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51213,764191;0,000000;0,000000;0,000000
1;85,750;-0,170037;-0,017197;0,000000;0,000000;-0,017197;1,723;-0,043;0,053214;39,982;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51215,469360;0,000000;0,000000;0,000000
1;85,750;-0,168309;-0,017269;0,000000;0,000000;-0,017269;1,723;-0,043;0,054942;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51217,197418;0,000000;0,000000;0,000000
1;87,500;-0,166667;-0,017357;0,000000;0,000000;-0,017357;1,758;-0,043;0,056584;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51218,837738;0,000000;0,000000;0,000000
1;89,500;-0,164998;-0,017529;0,000000;0,000000;-0,017529;1,798;-0,044;0,058253;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51220,504761;0,000000;0,000000;0,000000
1;89,500;-0,163322;-0,017487;0,000000;0,000000;-0,017487;1,798;-0,044;0,059929;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51222,183228;0,000000;0,000000;0,000000
1;93,250;-0,161633;-0,017807;0,000000;0,000000;-0,017807;1,874;-0,045;0,061618;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51223,873138;0,000000;0,000000;0,000000
1;93,250;-0,159989;-0,017799;0,000000;0,000000;-0,017799;1,874;-0,044;0,063262;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51225,517273;0,000000;0,000000;0,000000
1;93,250;-0,158372;-0,017887;0,000000;0,000000;-0,017887;1,874;-0,045;0,064879;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51227,130890;0,000000;0,000000;0,000000
1;95,250;-0,156694;-0,018059;0,000000;0,000000;-0,018059;1,914;-0,045;0,066557;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51228,809357;0,000000;0,000000;0,000000
1;99,000;-0,155066;-0,018177;0,000000;0,000000;-0,018177;1,989;-0,045;0,068185;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51230,438232;0,000000;0,000000;0,000000
1;101,000;-0,153411;-0,018238;0,000000;0,000000;-0,018238;2,030;-0,046;0,069840;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51232,093811;0,000000;0,000000;0,000000
1;99,000;-0,151687;-0,018200;0,000000;0,000000;-0,018200;1,989;-0,046;0,071564;39,981;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51233,818054;0,000000;0,000000;0,000000
1;101,000;-0,149998;-0,018497;0,000000;0,000000;-0,018497;2,030;-0,046;0,073253;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51235,507965;0,000000;0,000000;0,000000
1;104,750;-0,148329;-0,018330;0,000000;0,000000;-0,018330;2,105;-0,046;0,074922;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51237,174988;0,000000;0,000000;0,000000
1;104,750;-0,146678;-0,018677;0,000000;0,000000;-0,018677;2,105;-0,047;0,076573;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51238,826752;0,000000;0,000000;0,000000
1;106,750;-0,144993;-0,018597;0,000000;0,000000;-0,018597;2,145;-0,046;0,078258;39,980;0,000000;0,000000;0;0,000000;0,000000;0,000000;0,000000;0,000000;-51240,512848;0,000000;0,000000;0,000000
